beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url
"The Good, The Bad, & The Unidragon",Clown Shoes,Stout - Russian Imperial,14,0,,,,,,,,3.75,12/13/2018 22:52,https://untappd.com/c/687155360,https://untappd.com/beer/695583,https://untappd.com/brewery/7583,United States,Boston,MA,,,,687155360,695583,7583,
Old Rasputin,North Coast Brewing Company,Stout - Russian Imperial,9,75,,,,,,,,4.25,12/13/2018 22:53,https://untappd.com/c/687155436,https://untappd.com/beer/30855,https://untappd.com/brewery/919,United States,Fort Bragg,CA,,,,687155436,30855,919,
Barrel-Aged Old Rasputin,North Coast Brewing Company,Stout - Russian Imperial,11.6,38,,,,,,,,2.75,12/13/2018 22:53,https://untappd.com/c/687155601,https://untappd.com/beer/613497,https://untappd.com/brewery/919,United States,Fort Bragg,CA,,,,687155601,613497,919,
Jolly Woodsman,Banded Brewing Co.,Stout - Coffee,7.5,0,,,,,,,,4.5,12/13/2018 22:57,https://untappd.com/c/687156698,https://untappd.com/beer/610533,https://untappd.com/brewery/81722,United States,Biddeford,ME,,,,687156698,610533,81722,
Norweald Stout,Banded Brewing Co.,Stout - American,6.5,0,,,,,,,,4.5,12/13/2018 22:57,https://untappd.com/c/687156732,https://untappd.com/beer/535728,https://untappd.com/brewery/81722,United States,Biddeford,ME,,,,687156732,535728,81722,
The Mountain,Banded Brewing Co.,Stout - Russian Imperial,12,0,,,,,,,,4.25,12/13/2018 22:57,https://untappd.com/c/687156764,https://untappd.com/beer/569381,https://untappd.com/brewery/81722,United States,Biddeford,ME,,,,687156764,569381,81722,
Samoan Drop,Banded Brewing Co.,Porter - Imperial / Double,8.4,0,,,,,,,,4.25,12/13/2018 22:58,https://untappd.com/c/687156798,https://untappd.com/beer/1029848,https://untappd.com/brewery/81722,United States,Biddeford,ME,,,,687156798,1029848,81722,
Banded Souls,Banded Brewing Co.,IPA - Imperial / Double,8,0,,,,,,,,1.75,12/13/2018 22:58,https://untappd.com/c/687156834,https://untappd.com/beer/940190,https://untappd.com/brewery/81722,United States,Biddeford,ME,,,,687156834,940190,81722,
Midnight Special Coffee Porter,Funky Bow Brewery & Beer Company,Porter - Other,8.3,0,,,,,,,,4.25,12/13/2018 22:58,https://untappd.com/c/687156988,https://untappd.com/beer/840230,https://untappd.com/brewery/57664,United States,Lyman,ME,,,,687156988,840230,57664,
G-String,Funky Bow Brewery & Beer Company,Pale Ale - American,5.3,0,,,,,,,,3.25,12/13/2018 22:58,https://untappd.com/c/687157014,https://untappd.com/beer/659460,https://untappd.com/brewery/57664,United States,Lyman,ME,,,,687157014,659460,57664,
Péché Mortel,Brasserie Dieu du Ciel!,Stout - American Imperial / Double,9.5,76,,,,,,,,3.25,12/13/2018 23:03,https://untappd.com/c/687158229,https://untappd.com/beer/19459,https://untappd.com/brewery/1674,Canada,St-Jérôme,QC,,,,687158229,19459,1674,
Trashmaster,Bunker Brewing Company,Stout - Russian Imperial,8.8,0,,,,,,,,4,12/13/2018 23:04,https://untappd.com/c/687158488,https://untappd.com/beer/145252,https://untappd.com/brewery/24102,United States,Portland,ME,,,,687158488,145252,24102,
Angels With Filthy Souls 2016,Bissell Brothers ,Porter - Imperial / Double,9.3,0,,,,,,,,4,12/13/2018 23:05,https://untappd.com/c/687158710,https://untappd.com/beer/1842026,https://untappd.com/brewery/32943,United States,Portland,ME,,,,687158710,1842026,32943,
Umbra,Bissell Brothers ,Stout - Oatmeal,7.5,0,,,,,,,,4,12/13/2018 23:05,https://untappd.com/c/687158737,https://untappd.com/beer/1732169,https://untappd.com/brewery/32943,United States,Portland,ME,,,,687158737,1732169,32943,
Warrior Wheat,Nonesuch River Brewing,Dunkelweizen,5.1,31,,,,,,,,0.5,12/14/2018 19:08,https://untappd.com/c/687507663,https://untappd.com/beer/2369173,https://untappd.com/brewery/368461,United States,Scarborough,ME,,,,687507663,2369173,368461,
